nm,abs
400,0.09
401,0.09
402,0.09
403,0.1
404,0.1
405,0.11
406,0.11
407,0.1
408,0.11
409,0.11
410,0.1
411,0.1
412,0.1
413,0.1
414,0.09
415,0.09
416,0.09
417,0.08
418,0.07
419,0.06
420,0.07
421,0.06
422,0.06
423,0.05
424,0.05
425,0.04
426,0.04
427,0.04
428,0.03
429,0.03
430,0.03
431,0.03
432,0.02
433,0.01
434,0.03
435,0.02
436,0.02
437,0.02
438,0.02
439,0.02
440,0.02
441,0.02
442,0.01
443,0.02
444,0.01
445,0.01
446,0.02
447,0.01
448,0.02
449,0.01
450,0.02
451,0.02
452,0.01
453,0.01
454,0.01
455,0.01
456,0.02
457,0.02
458,0.02
459,0.02
460,0.03
461,0.01
462,0.02
463,0.01
464,0.01
465,0.02
466,0.01
467,0.02
468,0.02
469,0.01
470,0.03
471,0.02
472,0.01
473,0.01
474,0.02
475,0.02
476,0.02
477,0.01
478,0.02
479,0.02
480,0.02
481,0.02
482,0.02
483,0.02
484,0.03
485,0.02
486,0.02
487,0.03
488,0.01
489,0.03
490,0.02
491,0.02
492,0.02
493,0.02
494,0.03
495,0.03
496,0.02
497,0.02
498,0.02
499,0.02
500,0.03
501,0.02
502,0.02
503,0.03
504,0.03
505,0.03
506,0.03
507,0.02
508,0.02
509,0.03
510,0.03
511,0.03
512,0.04
513,0.03
514,0.03
515,0.04
516,0.04
517,0.03
518,0.03
519,0.04
520,0.04
521,0.04
522,0.05
523,0.05
524,0.05
525,0.04
526,0.04
527,0.05
528,0.05
529,0.05
530,0.05
531,0.06
532,0.05
533,0.06
534,0.06
535,0.06
536,0.07
537,0.07
538,0.06
539,0.06
540,0.07
541,0.07
542,0.07
543,0.07
544,0.08
545,0.09
546,0.09
547,0.09
548,0.08
549,0.1
550,0.1
551,0.1
552,0.11
553,0.1
554,0.11
555,0.11
556,0.11
557,0.12
558,0.13
559,0.13
560,0.14
561,0.14
562,0.15
563,0.15
564,0.16
565,0.17
566,0.17
567,0.18
568,0.19
569,0.19
570,0.2
571,0.21
572,0.21
573,0.21
574,0.22
575,0.22
576,0.24
577,0.25
578,0.24
579,0.25
580,0.26
581,0.26
582,0.27
583,0.27
584,0.28
585,0.28
586,0.29
587,0.29
588,0.3
589,0.31
590,0.32
591,0.32
592,0.33
593,0.33
594,0.34
595,0.35
596,0.36
597,0.37
598,0.38
599,0.38
600,0.39
601,0.41
602,0.42
603,0.44
604,0.45
605,0.47
606,0.48
607,0.5
608,0.51
609,0.55
610,0.55
611,0.59
612,0.61
613,0.63
614,0.65
615,0.66
616,0.69
617,0.71
618,0.73
619,0.76
620,0.78
621,0.79
622,0.81
623,0.83
624,0.85
625,0.86
626,0.88
627,0.88
628,0.89
629,0.88
630,0.88
631,0.87
632,0.87
633,0.86
634,0.85
635,0.83
636,0.81
637,0.79
638,0.75
639,0.73
640,0.71
641,0.68
642,0.64
643,0.6
644,0.58
645,0.54
646,0.51
647,0.49
648,0.45
649,0.42
650,0.39
651,0.36
652,0.34
653,0.32
654,0.29
655,0.27
656,0.23
657,0.22
658,0.21
659,0.19
660,0.18
661,0.16
662,0.15
663,0.13
664,0.12
665,0.11
666,0.1
667,0.09
668,0.08
669,0.08
670,0.08
671,0.07
672,0.06
673,0.05
674,0.05
675,0.05
676,0.04
677,0.04
678,0.04
679,0.03
680,0.03
681,0.03
682,0.02
683,0.02
684,0.03
685,0.02
686,0.02
687,0.02
688,0.02
689,0.02
690,0.02
691,0.01
692,0.01
693,0.01
694,0.02
695,0.01
696,0.01
697,0.01
698,0.01
699,0.01
700,0.01
701,0.01
702,0.01
703,0.01
704,0.01
705,0.01
706,0
707,0.01
708,0.01
709,0.01
710,0.01
711,0.01
712,0.01
713,0.01
714,0.01
715,0
716,0
717,0.01
718,0.01
719,0
720,0.01
721,0.01
722,0.01
723,0
724,0
725,0
726,0
727,0
728,0
729,0.01
730,0.01
731,0
732,0.01
733,0.01
734,0
735,0.01
736,0
737,0.01
738,0
739,0.01
740,0
741,0.01
742,0.01
743,0.01
744,0.01
745,0.01
746,0
747,0.01
748,0
749,0
750,0.01
751,0
752,0
753,0
754,0.01
755,0.01
756,0
757,0
758,0
759,0.01
760,0.01
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0.01
775,0
776,0.01
777,0
778,0
779,0
780,0
781,0.01
782,0
783,0.01
784,0
785,0.01
786,0.01
787,0.01
788,0.01
789,0
790,0.01
791,0.01
792,0
793,0.01
794,0.01
795,0
796,0.01
797,0.01
798,0
799,0.01
800,0
801,0
802,0.01
803,0
804,0
805,0.01
806,0.01
807,0.01
808,0.01
809,0.01
810,0.01
811,0
812,0
813,0.01
814,0.01
815,0
816,0
817,0.01
818,0.01
819,0
820,0.01
821,0.01
822,0.01
823,0.02
824,0
825,0.01
826,0
827,0.01
828,0
829,0.01
830,0.01
831,0.01
832,0.01
833,0
834,0
835,0.01
836,0.01
837,0
838,0.01
839,0.01
840,0
841,0.01
842,0.01
843,0.01
844,0
845,0.01
846,0.01
847,0
848,0.01
849,0.01
850,0.01
