Green 3 Standard,
8.0 x 10-6 M,
Absorbance:209,
200,0
201,-0.32
202,0.41
203,-0.04
204,0.65
205,0.11
206,0.12
207,0.31
208,0.19
209,-0.13
210,0.94
211,-0.03
212,0
213,-0.13
214,0
215,-0.41
216,-0.01
217,-0.15
218,-0.06
219,0.54
220,0.14
221,0
222,0.75
223,0
224,0
225,0.54
226,-0.44
227,0
228,-0.01
229,-0.22
230,0
231,-1.44
232,0.75
233,0.04
234,0.14
235,2.34
236,0
237,0
238,-0.07
239,-0.19
240,0.31
241,0
242,0
243,-0.03
244,0.54
245,-0.05
246,1.01
247,0
248,0.57
249,0.53
250,-0.09
251,0
252,0.25
253,0.53
254,0.49
255,0
256,0.01
257,0.13
258,0.07
259,0
260,0.28
261,0.2
262,-0.06
263,0.3
264,0.25
265,1.17
266,0
267,-0.74
268,-0.3
269,0
270,-0.2
271,0.49
272,2.98
273,0.27
274,0.08
275,0.11
276,0.02
277,0
278,0.41
279,0.17
280,-0.18
281,0
282,0.33
283,0.1
284,0.57
285,0.12
286,-0.07
287,-0.05
288,0
289,0.13
290,0.17
291,0.21
292,0.16
293,0.17
294,0.09
295,0.33
296,0.2
297,0.25
298,0.27
299,0.22
300,0.27
301,0.28
302,0.24
303,0.23
304,0.28
305,0.25
306,0.24
307,0.24
308,0.24
309,0.24
310,0.24
311,0.22
312,0.2
313,0.2
314,0.18
315,0.18
316,0.18
317,0.18
318,0.15
319,0.14
320,0.15
321,0.13
322,0.12
323,0.11
324,0.11
325,0.12
326,0.11
327,0.09
328,0.1
329,0.09
330,0.1
331,0.09
332,0.09
333,0.07
334,0.09
335,0.08
336,0.08
337,0.08
338,0.07
339,0.09
340,0.08
341,0.08
342,0.08
343,0.07
344,0.07
345,0.08
346,0.07
347,0.06
348,0.07
349,0.06
350,0.07
351,0.08
352,0.08
353,0.07
354,0.07
355,0.07
356,0.07
357,0.07
358,0.06
359,0.08
360,0.07
361,0.06
362,0.08
363,0.05
364,0.06
365,0.06
366,0.07
367,0.08
368,0.08
369,0.06
370,0.07
371,0.08
372,0.09
373,0.08
374,0.07
375,0.08
376,0.09
377,0.08
378,0.09
379,0.08
380,0.09
381,0.09
382,0.09
383,0.12
384,0.1
385,0.11
386,0.11
387,0.1
388,0.12
389,0.11
390,0.12
391,0.12
392,0.12
393,0.13
394,0.12
395,0.13
396,0.14
397,0.14
398,0.14
399,0.15
400,0.15
401,0.15
402,0.15
403,0.16
404,0.17
405,0.18
406,0.18
407,0.18
408,0.18
409,0.19
410,0.18
411,0.19
412,0.2
413,0.2
414,0.2
415,0.2
416,0.21
417,0.2
418,0.21
419,0.2
420,0.2
421,0.21
422,0.21
423,0.2
424,0.21
425,0.2
426,0.2
427,0.2
428,0.19
429,0.21
430,0.2
431,0.19
432,0.19
433,0.18
434,0.19
435,0.18
436,0.17
437,0.18
438,0.17
439,0.17
440,0.16
441,0.16
442,0.15
443,0.15
444,0.14
445,0.14
446,0.14
447,0.13
448,0.13
449,0.12
450,0.12
451,0.11
452,0.1
453,0.1
454,0.1
455,0.09
456,0.1
457,0.09
458,0.09
459,0.09
460,0.09
461,0.07
462,0.07
463,0.07
464,0.06
465,0.07
466,0.06
467,0.06
468,0.06
469,0.05
470,0.06
471,0.05
472,0.05
473,0.05
474,0.05
475,0.05
476,0.05
477,0.04
478,0.04
479,0.05
480,0.04
481,0.05
482,0.05
483,0.04
484,0.05
485,0.05
486,0.04
487,0.05
488,0.04
489,0.05
490,0.05
491,0.05
492,0.04
493,0.04
494,0.05
495,0.05
496,0.04
497,0.05
498,0.05
499,0.05
500,0.05
501,0.05
502,0.05
503,0.06
504,0.05
505,0.05
506,0.05
507,0.05
508,0.05
509,0.06
510,0.06
511,0.06
512,0.07
513,0.07
514,0.07
515,0.07
516,0.08
517,0.07
518,0.07
519,0.08
520,0.08
521,0.09
522,0.09
523,0.09
524,0.09
525,0.09
526,0.09
527,0.1
528,0.11
529,0.1
530,0.11
531,0.12
532,0.11
533,0.12
534,0.12
535,0.12
536,0.13
537,0.14
538,0.13
539,0.14
540,0.15
541,0.15
542,0.16
543,0.16
544,0.17
545,0.18
546,0.18
547,0.19
548,0.19
549,0.2
550,0.21
551,0.22
552,0.23
553,0.23
554,0.24
555,0.26
556,0.26
557,0.27
558,0.29
559,0.3
560,0.31
561,0.32
562,0.33
563,0.35
564,0.36
565,0.37
566,0.38
567,0.4
568,0.42
569,0.43
570,0.44
571,0.45
572,0.46
573,0.47
574,0.49
575,0.5
576,0.51
577,0.53
