Yellow 6 Standard,
2.92 x 10-5 M,
Absorbance:209,
200,0.02
201,-0.15
202,0.24
203,0.32
204,0.16
205,-0.01
206,0.59
207,0.44
208,0.12
209,-0.13
210,0.36
211,-0.07
212,0.13
213,-0.14
214,0
215,-0.5
216,0.57
217,-0.25
218,-0.19
219,0.14
220,0.48
221,0
222,0.94
223,0.96
224,0
225,0.04
226,-0.46
227,0
228,-0.18
229,-0.29
230,0
231,-1.45
232,0.55
233,2.27
234,0
235,0.47
236,0
237,0
238,-0.06
239,-0.29
240,0.44
241,0
242,0
243,-0.1
244,0.25
245,-0.24
246,0.88
247,0.48
248,0.39
249,0.11
250,-0.14
251,0.58
252,0.44
253,0.98
254,0.14
255,0
256,-0.29
257,0.06
258,-0.12
259,0
260,0.41
261,0.23
262,0
263,-0.01
264,0.23
265,0.13
266,0
267,-0.08
268,-0.36
269,0
270,-0.18
271,0.9
272,0
273,0.57
274,0.14
275,0.11
276,-0.1
277,0
278,0.62
279,0.18
280,-1.04
281,0.64
282,0.24
283,0.22
284,0.38
285,0.05
286,-0.01
287,-0.14
288,0
289,0.14
290,0.27
291,0.16
292,0.22
293,0.26
294,0.13
295,0.42
296,0.25
297,0.3
298,0.32
299,0.27
300,0.29
301,0.31
302,0.28
303,0.28
304,0.34
305,0.33
306,0.32
307,0.32
308,0.32
309,0.33
310,0.35
311,0.32
312,0.33
313,0.33
314,0.34
315,0.33
316,0.33
317,0.34
318,0.33
319,0.31
320,0.31
321,0.29
322,0.27
323,0.26
324,0.25
325,0.24
326,0.22
327,0.2
328,0.19
329,0.17
330,0.17
331,0.15
332,0.15
333,0.12
334,0.13
335,0.12
336,0.13
337,0.12
338,0.11
339,0.12
340,0.1
341,0.1
342,0.1
343,0.09
344,0.1
345,0.1
346,0.1
347,0.09
348,0.1
349,0.09
350,0.1
351,0.11
352,0.11
353,0.1
354,0.11
355,0.11
356,0.11
357,0.12
358,0.11
359,0.12
360,0.11
361,0.12
362,0.13
363,0.12
364,0.12
365,0.12
366,0.14
367,0.16
368,0.15
369,0.14
370,0.15
371,0.16
372,0.17
373,0.17
374,0.16
375,0.18
376,0.18
377,0.18
378,0.19
379,0.18
380,0.19
381,0.2
382,0.2
383,0.22
384,0.21
385,0.22
386,0.22
387,0.21
388,0.22
389,0.22
390,0.22
391,0.22
392,0.23
393,0.23
394,0.23
395,0.23
396,0.24
397,0.23
398,0.23
399,0.25
400,0.25
401,0.25
402,0.25
403,0.25
404,0.25
405,0.25
406,0.25
407,0.25
408,0.26
409,0.26
410,0.26
411,0.26
412,0.26
413,0.26
414,0.26
415,0.27
416,0.27
417,0.27
418,0.27
419,0.26
420,0.27
421,0.27
422,0.28
423,0.27
424,0.28
425,0.28
426,0.28
427,0.28
428,0.28
429,0.29
430,0.29
431,0.29
432,0.29
433,0.29
434,0.31
435,0.31
436,0.31
437,0.32
438,0.33
439,0.34
440,0.34
441,0.35
442,0.35
443,0.36
444,0.37
445,0.38
446,0.39
447,0.39
448,0.41
449,0.41
450,0.41
451,0.43
452,0.42
453,0.44
454,0.45
455,0.46
456,0.47
457,0.47
458,0.48
459,0.49
460,0.51
461,0.5
462,0.52
463,0.53
464,0.54
465,0.55
466,0.55
467,0.56
468,0.58
469,0.57
470,0.59
471,0.59
472,0.6
473,0.6
474,0.61
475,0.63
476,0.63
477,0.62
478,0.63
479,0.64
480,0.64
481,0.63
482,0.63
483,0.64
484,0.63
485,0.64
486,0.63
487,0.63
488,0.62
489,0.63
490,0.62
491,0.61
492,0.61
493,0.61
494,0.62
495,0.62
496,0.6
497,0.6
498,0.6
499,0.59
