time,abs_intensity
2,0
2.002,218
2.003,2196328
2.005,210377
2.007,4827
2.008,1395
2.01,204
2.012,0
2.013,1578
2.015,87512
2.017,634114
2.018,153356
2.02,100498
2.022,401090
2.023,778196
2.025,755729
2.027,767044
2.028,792785
2.03,806860
2.032,825410
2.033,853268
2.035,866402
2.037,890037
2.038,908014
2.04,920965
2.042,927717
2.043,948646
2.045,957447
2.047,962490
2.048,956590
2.05,974943
2.052,968883
2.053,981657
2.055,975461
2.057,966974
2.058,959850
2.06,955123
2.062,947437
2.063,934505
2.065,929038
2.067,921523
2.068,917018
2.07,906902
2.072,893451
2.073,892057
2.075,884619
2.077,873346
2.078,867997
2.08,860972
2.082,860005
2.083,855946
2.085,848173
2.087,849904
2.088,843889
2.09,832175
2.092,830355
2.093,822542
2.095,814259
2.097,806127
2.098,799948
2.1,785134
2.102,780043
2.103,782014
2.105,776965
2.107,767957
2.108,762332
2.11,752226
2.112,744857
2.113,740438
2.115,732232
2.117,726439
2.118,726710
2.12,718658
2.122,708201
2.123,711082
2.125,699092
2.127,694419
2.128,683946
2.13,683125
2.132,681512
2.133,675805
2.135,668335
2.137,655091
2.138,658819
2.14,658190
2.142,652311
2.143,655450
2.145,651290
2.147,637696
2.148,636805
2.15,638382
2.152,634383
2.153,630831
2.155,622509
2.157,625545
2.158,619576
2.16,622915
2.162,615301
2.163,620153
2.165,614486
2.167,606615
2.168,604178
2.17,602888
2.172,601512
2.173,599724
2.175,595507
2.177,595937
2.178,586997
2.18,587535
2.182,591546
2.183,587718
2.185,588536
2.187,590010
2.188,586763
2.19,581776
2.192,575568
2.193,581044
2.195,580373
2.197,578111
2.198,572439
2.2,568608
2.202,574154
2.203,568483
2.205,565980
2.207,563127
2.208,559443
2.21,556220
2.212,560964
2.213,561527
2.215,552543
2.217,558489
2.218,549761
2.22,551555
2.222,557393
2.223,545865
2.225,542232
2.227,554424
2.228,546516
2.23,551593
2.232,544413
2.233,543748
2.235,544908
2.237,549616
2.238,543382
2.24,539881
2.242,543412
2.243,536460
2.245,539146
2.247,543182
2.248,536954
2.25,530251
2.252,535704
2.253,535660
2.255,529969
2.257,533686
2.258,530386
2.26,527426
2.262,530295
2.263,533855
2.265,527949
2.267,522962
2.268,521256
2.27,525060
2.272,527329
2.273,517721
2.275,528960
2.277,519250
2.278,523482
2.28,516883
2.282,512670
2.283,515637
2.285,513118
2.287,514288
2.288,517784
2.29,512984
2.292,516162
2.293,510012
2.295,514712
2.297,510053
