x,y,z
10.172,-1.175,-2.458
9.602,1.188,-2.879
10.508,0.262,-2.399
8.951,-1.577,-2.995
9.388,2.43,-2.113
10.683,-1.802,-1.284
8.673,-3.233,-1.2
8.174,-2.631,-2.35
8.343,0.784,-3.427
9.947,-2.814,-0.663
8.024,-0.58,-3.488
11.212,0.472,-1.168
7.993,2.763,-2.228
11.335,-0.779,-0.458
7.331,1.747,-3.035
7.784,-3.532,-0.087
6.766,-2.305,-2.449
9.834,-2.86,0.801
6.668,-1.022,-3.159
7.313,3.303,-1.148
11.216,-0.845,0.916
6.418,-3.211,-0.189
6.033,1.332,-2.703
5.907,-2.59,-1.387
10.453,-1.886,1.575
5.705,-0.092,-2.776
4.909,-1.611,-0.998
10.98,0.392,1.681
10.064,2.641,-0.959
11.017,1.637,-0.436
5.627,1.175,2.458
6.197,-1.188,2.879
5.291,-0.262,2.399
6.848,1.577,2.995
6.411,-2.43,2.113
5.116,1.802,1.284
7.126,3.233,1.2
7.625,2.631,2.35
7.456,-0.784,3.427
5.852,2.814,0.663
7.775,0.58,3.488
4.587,-0.472,1.168
7.806,-2.763,2.228
4.464,0.779,0.458
8.468,-1.747,3.035
8.015,3.532,0.087
9.033,2.305,2.449
5.965,2.86,-0.801
9.131,1.022,3.159
8.486,-3.303,1.148
4.583,0.845,-0.916
9.381,3.211,0.189
9.766,-1.332,2.703
9.892,2.59,1.387
5.346,1.886,-1.575
10.094,0.092,2.776
10.89,1.611,0.998
4.819,-0.392,-1.681
5.735,-2.641,0.959
4.782,-1.637,0.436
