z,n,hl
0,1,-4.710708973555071
0,4,-29.254588771356257
1,2,1.0908987919673687
1,4,-29.563891292986227
1,5,-29.029947121555733
1,6,-27.793857932824764
2,3,-28.651190429256033
2,4,-7.592094549992404
2,5,-28.015706682441117
2,6,-8.422894845452591
2,8,-28.316736678105098
3,2,-28.92952053482484
3,5,-7.57457902567525
3,6,-8.247655263760013
3,8,-9.556798553913055
4,2,-27.803403250730998
4,3,-0.8362179942411047
4,4,-23.585470618559167
4,6,6.179265031432132
4,7,-6.360188173035875
4,8,-9.167176889305436
4,9,-28.06744284277638
4,10,-9.86031734998073
4,11,-28.603043416948378
4,12,-28.742705410377383
5,2,-28.743247939469715
5,3,-7.612315881762886
5,4,-25.572009183208408
5,7,-9.193455237488743
5,8,-9.26000804422145
5,9,-9.401896593927312
5,10,-9.501857358439986
5,11,-27.839615423385435
5,12,-9.792942894651448
5,14,-10.03342375548695
5,15,-28.538585427721443
5,16,-28.617766673769108
6,2,-27.953558775692276
6,3,-8.39671608142353
6,4,-6.213474379291483
6,5,-4.4117922681864234
6,8,3.7561629398114533
6,9,-7.109817821810654
6,10,-7.625486005119969
6,11,-8.213249297927595
6,12,-8.535018779589812
6,13,-8.833225615917415
6,14,-9.28661900253141
6,16,-9.7134767719246
7,3,-29.237555432057476
7,4,-28.75869351576152
7,5,-9.457413921777142
7,6,-4.722178053515218
7,9,-6.645717077083503
7,10,-6.8783582222236594
7,11,-7.703622017252944
7,12,-8.065837316060962
7,13,-8.37040733821756
7,14,-8.574527320873486
7,15,-9.137078770917775
7,16,-9.349587494279987
7,17,-14.782803263300568
8,3,-28.953558775692276
8,4,-27.69694791981671
8,5,-9.565319319086662
8,6,-5.64996499857236
8,7,-5.411593265703753
8,11,-6.06937734255358
8,12,-6.368151257913337
8,13,-6.964780500879233
8,14,-7.146624088824005
8,15,-8.512034872669123
8,16,-8.685893250292512
8,18,-18.845594093160024
9,5,-28.798656815706508
9,6,-28.659159358927294
9,7,-27.441675414713405
9,8,-5.689314229998026
9,9,-3.6801716923454544
9,11,-6.4546589860566455
9,12,-6.879922121939917
9,13,-6.8724662395603255
9,14,-7.150501743887207
9,15,-7.907741999908869
9,16,-8.595716619943424
9,17,-9.584992754551651
9,18,-9.799836602599349
9,19,-26.836048775253794
9,20,-10.10086659826333
9,22,-14.08383325896455
10,5,-28.610467435027584
10,6,-27.742705410377386
10,7,-8.460583968566649
10,8,-7.275570333832371
10,9,-6.2627734598177325
10,13,-5.927680329851056
10,14,-5.19173865627407
10,15,-7.7192101156775434
10,16,-8.204340380773775
10,17,-9.000496053145767
10,18,-9.197776611271387
10,19,-9.322715347879686
10,20,-9.635483746814913
10,21,-9.967327689893112
10,22,-9.954738562585092
10,23,-14.243534101832061
10,24,-14.720655356551724
11,7,-28.14064541904942
11,8,-27.441675414713405
11,9,-7.84762554449068
11,10,-6.146817151499736
11,11,0.41556199349185063
11,13,-2.766499714695828
11,14,-5.727219126054113
11,15,-7.468903609901871
11,16,-8.020240111341524
11,17,-9.014506767588582
11,18,-8.854368017467529
11,19,-8.81756536955978
11,20,-9.259507127808476
11,21,-9.378232675729517
11,22,-9.595716619943424
11,23,-9.758443917441124
11,24,-10.322715347879686
11,25,-14.243534101832061
11,26,-14.720655356551724
12,7,-18.89652027472191
12,8,-8.542638176460004
12,9,-8.41244677626062
12,10,-6.9104788657104175
12,11,-6.445551406982528
12,15,-4.744856046872317
12,16,-2.6220462372514315
12,17,-7.384863254628531
12,18,-7.973761799898523
12,19,-8.12589460396526
12,20,-8.5643081556918
12,21,-8.542158027730165
12,22,-9.197776611271387
12,23,-9.445728163451948
12,24,-9.907741999908868
12,25,-9.595716619943424
12,27,-14.243534101832061
12,28,-14.268357685557094
13,8,-14.954738562585092
13,9,-8.53928822996237
13,10,-7.849471748223226
13,11,-7.1864176575647765
13,12,-6.642500740502069
13,13,5.855807239806762
13,15,-5.369439011212382
13,16,-4.903751517176064
13,17,-6.940098036402202
13,18,-7.689920739575556
13,19,-8.98029266705748
13,20,-8.87867055196161
13,21,-8.748298212084022
13,22,-8.915607832966746
13,23,-8.544564097496043
13,24,-9.469422829250158
13,25,-9.544564097496043
13,26,-9.617993014654576
13,27,-14.08383325896455
13,29,-14.268357685557094
13,30,-14.268357685557094
14,8,-9.036408609036412
14,9,-8.872466239560326
14,10,-8.35267857125713
14,11,-8.156383926113161
14,12,-7.147532230575932
14,13,-6.880758510223275
14,17,-3.523761009640444
14,18,2.196187736548196
14,19,-6.712765396692814
14,20,-7.05632683787092
14,21,-7.606712004244888
14,22,-7.845594093160025
14,23,-8.544564097496043
14,24,-8.699466057481786
14,25,-8.822112997310501
14,26,-8.98029266705748
14,27,-9.197776611271387
14,28,-9.401896593927312
14,29,-14.720655356551724
14,30,-13.94250410616808
15,10,-15.021685352215705
15,11,-8.858325169964946
15,12,-8.08383325896455
15,13,-8.066960561236643
15,14,-6.881596512377934
15,15,-5.323062922513608
15,17,-1.4079297637901582
15,18,-1.1583149007871198
15,19,-6.404335478293723
15,20,-5.823945466197556
15,21,-6.750618579929168
15,22,-7.135194627043224
15,23,-7.692626632951481
15,24,-8.051648575593148
15,25,-8.322715347879686
15,26,-8.494485233152725
15,27,-8.813064868333104
15,28,-8.936513742478894
15,29,-9.231634878532354
15,30,-14.197776611271387
16,10,-14.601179515644926
16,11,-9.308474908765076
16,12,-8.401896593927312
16,13,-8.224648757671687
16,14,-7.4276613164842855
16,15,-7.091687752888944
16,19,-0.6209305287447136
16,21,-5.017363978433063
16,22,-3.4894407085891235
16,23,-6.438108766581756
16,24,-6.5543239347852
16,25,-7.1999535305256614
16,26,-7.491912898987468
16,27,-8.07556073299856
16,28,-8.498806606935368
16,29,-8.666297694229131
16,30,-8.799836602599349
16,32,-14.197776611271387
17,12,-15.197776611271387
17,13,-15.021685352215705
17,14,-8.220053005982539
17,15,-8.024590342859113
17,16,-7.098959894222445
17,17,-7.31508134888979
17,19,5.479287215812319
17,21,-4.149762320333332
17,22,-3.9709190409826634
17,23,-5.590321588056718
17,24,-5.914475382567837
17,25,-6.666297694229132
17,26,-7.0032622693889195
17,27,-7.750618579929167
17,28,-7.882856555278967
17,29,-8.133318622044468
17,30,-8.494485233152725
17,31,-14.197776611271387
17,32,-14.268357685557094
18,12,-18.498806606935368
18,13,-9.340444114840118
18,14,-8.507580531242873
18,15,-8.260760503806573
18,16,-7.572567085889506
18,17,-7.249461470582039
18,19,-1.0180883489990804
18,21,2.428422878167751
18,23,-3.6808051788020597
18,24,1.5174839820889363
18,25,-4.990681070852169
18,26,-4.646204637597133
18,27,-6.16677232990785
18,28,-6.574527320873487
18,29,-7.40890149549597
18,30,-7.8221129973105015
18,31,-8.268357685557094
18,32,-8.473500741670598
18,34,-13.706414917437113
18,35,-13.706414917437113
19,14,-15.10086659826333
19,15,-15.10086659826333
19,16,-8.248386604626473
19,17,-7.96605222794287
19,18,-7.4106705182348165
19,19,-4.836937154587765
19,21,9.096502669485368
19,23,-2.8506613564299825
19,24,-2.59419924311992
19,25,-4.375673942624466
19,26,-4.469991437088481
19,27,-5.4776173078654296
19,28,-6.255768558249073
19,29,-6.666297694229132
19,30,-7.398436061817805
19,31,-7.82486460830128
19,32,-7.936513742478893
19,33,-8.457413921777142
19,34,-9.021685352215705
19,35,-9.498806606935368
19,36,-13.94250410616808
19,37,-13.706414917437113
20,14,-14.954738562585092
20,15,-9.088873483604074
20,16,-8.493626094431587
20,17,-8.24088815662131
20,18,-7.851658454064589
20,19,-7.564156684034657
20,21,4.9976744685362755
20,25,-0.3511456146419824
20,27,-1.9056198185716244
20,28,19.27904168509179
20,29,-4.780238491870059
20,30,-6.3700843225969415
20,31,-6.498806606935368
20,32,-6.836048775253794
20,33,-7.83510568154572
20,34,-8.469422829250158
20,35,-9.156383926113161
20,36,-9.457413921777142
20,37,-13.706414917437113
20,38,-13.706414917437113
21,18,-14.021685352215705
21,19,-8.238019938280392
21,20,-7.723341797589629
21,21,-7.665793439084329
21,22,-3.3524428753643383
21,23,-3.343713599404966
21,25,-0.6391006740358072
21,26,-2.037351781920219
21,27,-2.3023209142467405
21,28,-3.9634112055297543
21,29,-5.488082741543595
21,30,-6.405384921773133
21,31,-6.584992754551651
21,32,-7.08383325896455
21,33,-7.7778208627816285
21,34,-8.47761730786543
21,35,-9.08383325896455
21,36,-9.38486325462853
21,37,-9.419625360887743
22,16,-14.419625360887743
22,17,-9.043961746926858
22,18,-8.779475319951642
22,19,-8.585522705174949
22,20,-8.17938821788764
22,21,-7.7920888245986095
22,22,1.7718755650202174
22,23,-3.4539533896676367
22,29,-4.960232873128512
22,30,-5.490206435173451
22,31,-5.984258854275082
22,32,-7.176587312201448
22,33,-7.384863254628531
22,34,-8.197776611271387
22,35,-8.507580531242873
22,36,-8.735378613372431
22,37,-9.043961746926858
22,38,-9.156383926113161
22,39,-9.322715347879686
22,40,-13.706414917437113
22,41,-13.94250410616808
22,42,-13.706414917437113
23,19,-14.758443917441124
23,20,-8.599533419617764
23,21,-8.45348362814871
23,22,-7.760819280601937
23,23,-7.8729798936496564
23,24,-4.2074377564837855
23,25,-1.3588927783652474
23,26,-0.04377892457858725
23,27,17.42353395807577
23,29,-5.147435529437303
23,30,-5.532289430488576
23,31,-5.80157726417565
23,32,-6.683228858611101
23,33,-8.164352855784436
23,34,-7.9936566286154624
23,35,-8.21777323968764
23,36,-8.512034872669123
