bp,MW,degree,aliphatic
337.8,32.04,1,1
351.5,46.07,1,1
370.3,60.1,1,1
355.5,60.1,2,1
390.6,74.12,1,1
372,74.12,2,1
380.8,74.12,1,1
355.5,74.12,3,1
411,88.15,1,1
404,88.15,1,1
402,88.15,1,1
385,88.15,1,1
388,88.15,2,1
392,88.15,2,1
385,88.15,2,1
375.1,88.15,3,1
430,102.18,1,1
411,102.18,2,1
407,102.18,2,1
421,102.18,1,1
426,102.18,1,1
423,102.18,1,1
395,102.18,3,1
395,102.18,3,1
407,102.18,2,1
405,102.18,2,1
398,102.18,2,1
409,102.18,1,1
415,102.18,1,1
393,102.18,2,1
421,102.18,1,1
415,102.18,1,1
448,116.2,1,1
432,116.2,2,1
426,116.2,2,1
428,116.2,2,1
414,116.2,3,1
411,116.2,2,1
409,116.2,2,1
405,116.2,3,1
446,116.2,1,1
426,116.2,1,1
468,130.23,1,1
456,130.23,1,1
453,130.23,1,1
445,130.23,2,1
485,144.25,1,1
469,144.25,2,1
505,158.28,1,1
483,158.28,2,1
503,172.31,2,1
498,172.31,2,1
534.2,186.33,1,1
520,186.33,2,1
507.2,186.33,3,1
455,94.11,2,0
475,108.14,2,0
475.2,108.14,2,0
464.3,108.14,2,0
474,122.17,2,0
484,122.17,2,0
484,122.17,2,0
490,122.17,2,0
500,122.17,2,0
494,122.17,2,0
493,136.19,2,0
490,122.16,2,0
505,136.19,2,0
500,136.19,2,0
507,150.22,2,0
433,100.15,2,1
441,114.19,2,0
445,114.19,2,0
436.2,114.19,2,0
413,86.13,2,1
458.2,114.19,2,1
397,72.11,2,1
