bp,MW,EOU,hydrocarbon
574,238.46,1,alkene
356,82.15,2,alkene
565,226.45,0,alkane
330,82.15,2,alkyne
457,156.31,0,alkane
557,222.42,2,alkyne
295,166.22,9,aromatic
385,112.22,1,alkene
730,434.84,1,alkene
501,184.37,0,alkane
863,408.8,0,alkane
338,82.15,2,alkene
463,170.34,0,alkane
680,296.58,0,alkane
501,182.35,1,alkene
415,250.47,2,alkyne
448,156.31,0,alkane
420,126.24,1,alkene
452,156.31,0,alkane
529,194.36,2,alkyne
459,156.31,0,alkane
444,156.31,0,alkane
294,64.09,4,alkyne
521,226.45,0,alkane
497,184.37,0,alkane
396,112.22,1,alkene
396,112.22,1,alkene
394,112.22,1,alkene
542,212.42,0,alkane
491,184.37,0,alkane
301,68.12,2,alkyne
437,142.29,0,alkane
437,138.25,2,alkyne
380,114.23,0,alkane
340,178.23,10,aromatic
778,521.01,0,alkane
569,222.42,2,alkyne
464,154.3,1,alkene
395,112.22,1,alkene
974,476.92,1,alkene
430,142.29,0,alkane
309,72.15,0,alkane
392,114.23,0,alkane
440,142.29,0,alkane
443,140.27,1,alkene
470,170.34,0,alkane
422,124.23,2,alkene
384,110.2,2,alkene
652,322.62,1,alkene
429,142.29,0,alkane
283,50.06,4,alkyne
716,408.8,0,alkane
456,156.31,0,alkane
1113,563.1,0,alkane
489,170.34,0,alkane
152,120.19,4,aromatic
496,184.37,0,alkane
447,156.31,0,alkane
455,156.31,0,alkane
542,212.42,0,alkane
413,128.26,0,alkane
439,142.29,0,alkane
111,92.14,4,aromatic
544,212.42,0,alkane
448,156.31,0,alkane
429,142.29,0,alkane
350,98.19,1,alkene
447,156.31,0,alkane
412,128.26,0,alkane
519,198.39,0,alkane
444,140.27,1,alkene
513,196.38,1,alkene
353,96.17,2,alkene
599,268.53,0,alkane
527,198.39,0,alkane
651,278.52,2,alkene
445,156.31,0,alkane
440,142.29,0,alkane
441,156.31,0,alkane
481,338.66,0,alkane
496,184.37,0,alkane
576,240.48,0,alkane
454,156.31,0,alkane
356,96.17,2,alkene
479,170.34,0,alkane
346,98.19,1,alkene
663,336.65,1,alkene
342,82.15,2,alkene
392,112.22,1,alkene
389,112.22,1,alkene
553,208.39,2,alkyne
721,420.81,1,alkene
542,212.42,0,alkane
169,28.05,1,alkene
389,114.23,0,alkane
542,212.42,0,alkane
138,106.17,4,aromatic
341,84.16,1,alkene
452,156.31,0,alkane
363,100.2,0,alkane
434,142.29,0,alkane
328,64.09,4,alkyne
407,128.26,0,alkane
406,126.24,1,alkene
443,142.29,0,alkane
462,156.31,0,alkane
444,152.28,2,alkene
455,156.31,0,alkane
506,180.34,2,alkyne
