Density,Glassware,Soda
1.00,Grad Cylinder,Coke
1.00,Grad Cylinder,Coke
0.990,Grad Cylinder,Coke
1.00,Grad Cylinder,Coke
0.980,Grad Cylinder,Coke
1.030,Pipet,Coke
1.029,Pipet,Coke
1.037,Pipet,Coke
1.038,Pipet,Coke
1.038,Pipet,Coke
1.040,Buret,Coke
1.040,Buret,Coke
1.040,Buret,Coke
1.040,Buret,Coke
0.960,Grad Cylinder,Diet Coke
0.959,Grad Cylinder,Diet Coke
0.955,Grad Cylinder,Diet Coke
0.952,Grad Cylinder,Diet Coke
0.959,Grad Cylinder,Diet Coke
0.9905,Pipet,Diet Coke
0.9939,Pipet,Diet Coke
0.9942,Pipet,Diet Coke
0.9937,Pipet,Diet Coke
0.9946,Pipet,Diet Coke
0.9920,Buret,Diet Coke
0.9930,Buret,Diet Coke
0.9860,Buret,Diet Coke
0.9990,Buret,Diet Coke
1.0200,Buret,Diet Coke
0.995,Grad Cylinder,Coke
1.010,Grad Cylinder,Coke
1.010,Grad Cylinder,Coke
1.010,Grad Cylinder,Coke
1.04,Pipet,Coke
1.04,Pipet,Coke
1.04,Pipet,Coke
1.04,Pipet,Coke
1.05,Pipet,Coke
1.05,Pipet,Coke
0.959,Grad Cylinder,Diet Coke
0.961,Grad Cylinder,Diet Coke
0.948,Grad Cylinder,Diet Coke
0.976,Grad Cylinder,Diet Coke
0.977,Grad Cylinder,Diet Coke
0.996,Pipet,Diet Coke
0.996,Pipet,Diet Coke
0.995,Pipet,Diet Coke
0.997,Pipet,Diet Coke
0.996,Pipet,Diet Coke
0.9894,Buret,Diet Coke
0.9946,Buret,Diet Coke
0.9904,Buret,Diet Coke
0.9943,Buret,Diet Coke
1.02,Grad Cylinder,Coke
1.03,Grad Cylinder,Coke
1.02,Grad Cylinder,Coke
1,Grad Cylinder,Coke
1,Grad Cylinder,Coke
1,Grad Cylinder,Coke
1.037,Pipet,Coke
1.038,Pipet,Coke
1.036,Pipet,Coke
1.036,Pipet,Coke
1.038,Pipet,Coke
1.039,Buret,Coke
1.033,Buret,Coke
1.037,Buret,Coke
1.037,Buret,Coke
1.031,Buret,Coke
1.037,Buret,Coke
1.01,Grad Cylinder,Diet Coke
1,Grad Cylinder,Diet Coke
1,Grad Cylinder,Diet Coke
0.961,Grad Cylinder,Diet Coke
0.964,Grad Cylinder,Diet Coke
0.973,Grad Cylinder,Diet Coke
0.9945,Pipet,Diet Coke
0.9938,Pipet,Diet Coke
0.9956,Pipet,Diet Coke
0.9957,Pipet,Diet Coke
0.996,Pipet,Diet Coke
0.9971,Pipet,Diet Coke
0.994,Buret,Diet Coke
0.989,Buret,Diet Coke
0.999,Buret,Diet Coke
0.987,Buret,Diet Coke
