class,bp,MW,C,cyclic,aromatic,unsaturation
0,455,94.11,6,1,1,3
0,475,108.14,7,1,1,3
0,475,108.14,7,1,1,3
0,464,108.14,7,1,1,3
0,474,122.17,8,1,1,3
0,484,122.17,8,1,1,3
0,484,122.17,8,1,1,3
0,490,122.17,8,1,1,3
0,500,122.17,8,1,1,3
0,494,122.17,8,1,1,3
0,493,136.19,9,1,1,3
0,490,122.16,8,1,1,3
0,505,136.19,9,1,1,3
0,500,136.19,9,1,1,3
0,507,150.22,10,1,1,3
0,433,100.15,6,1,0,1
0,441,114.19,7,1,0,1
0,445,114.19,7,1,0,1
0,436,114.19,7,1,0,1
0,413,86.13,5,1,0,1
0,458,114.19,7,1,0,1
0,397,72.11,4,1,0,1
0,338,32.04,1,0,0,0
0,352,46.07,2,0,0,0
0,370,60.1,3,0,0,0
0,356,60.1,3,0,0,0
0,391,74.12,4,0,0,0
0,372,74.12,4,0,0,0
0,381,74.12,4,0,0,0
0,356,74.12,4,0,0,0
0,411,88.15,5,0,0,0
0,404,88.15,5,0,0,0
0,402,88.15,5,0,0,0
0,385,88.15,5,0,0,0
0,388,88.15,5,0,0,0
0,392,88.15,5,0,0,0
0,385,88.15,5,0,0,0
0,375,88.15,5,0,0,0
0,430,102.18,6,0,0,0
0,411,102.18,6,0,0,0
0,407,102.18,6,0,0,0
0,421,102.18,6,0,0,0
0,426,102.18,6,0,0,0
0,395,102.18,6,0,0,0
0,407,102.18,6,0,0,0
0,405,102.18,6,0,0,0
0,448,116.2,7,0,0,0
0,432,116.2,7,0,0,0
0,426,116.2,7,0,0,0
0,409,116.2,7,0,0,0
1,254,30.03,1,0,0,1
1,294,44.05,2,0,0,1
1,322,58.08,3,0,0,1
1,348,72.11,4,0,0,1
1,376,86.13,5,0,0,1
1,402,100.16,6,0,0,1
1,427,114.19,7,0,0,1
1,443,128.21,8,0,0,1
1,464,142.24,9,0,0,1
1,480,156.27,10,0,0,1
1,452,106.12,7,1,1,4
1,478,120.15,8,1,1,4
1,494,134.18,9,1,1,4
1,433,112.17,7,1,0,2
1,329,58.08,3,0,0,1
1,353,72.11,4,0,0,1
1,375,86.13,5,0,0,1
1,375,86.13,5,0,0,1
1,400,100.16,6,0,0,1
1,396,100.16,6,0,0,1
1,417,114.19,7,0,0,1
1,420,114.19,7,0,0,1
1,439,128.21,8,0,0,1
1,446,128.21,8,0,0,1
1,428,98.14,6,1,0,2
1,453,112.17,7,1,0,2
1,475,120.15,8,1,1,4
1,486,134.18,9,1,1,4
1,502,148.2,10,1,1,4
1,403,84.12,5,1,0,2
2,267,31.06,1,0,0,0
2,291,45.08,2,0,0,0
2,322,59.11,3,0,0,0
2,351,73.14,4,0,0,0
2,375,87.16,5,0,0,0
2,403,101.19,6,0,0,0
2,429,115.22,7,0,0,0
2,452,129.24,8,0,0,0
2,475,143.27,9,0,0,0
2,493,157.3,10,0,0,0
2,281,45.08,2,0,0,0
2,329,73.14,4,0,0,0
2,383,101.19,6,0,0,0
2,430,129.24,8,0,0,0
2,476,157.3,10,0,0,0
2,309,59.11,3,0,0,0
2,336,73.14,4,0,0,0
2,364,87.16,5,0,0,0
2,382,101.19,6,0,0,0
2,343,87.16,5,0,0,0
2,275,59.11,3,0,0,0
2,362,101.19,6,0,0,0
2,429,143.27,9,0,0,0
2,480,185.35,12,0,0,0
2,516,227.43,15,0,0,0
2,537,269.51,18,0,0,0
2,603,311.59,21,0,0,0
2,310,73.14,4,0,0,0
2,400,129.24,8,0,0,0
2,457,93.13,6,1,1,3
2,474,107.15,7,1,1,3
2,473,107.15,7,1,1,3
2,476,107.15,7,1,1,3
2,486,121.18,8,1,1,3
2,483,121.18,8,1,1,3
2,489,121.18,8,1,1,3
2,496,135.21,9,1,1,3
2,498,135.21,9,1,1,3
2,407,99.17,6,1,0,1
2,381,85.15,5,1,0,1
2,327,113.2,7,1,0,1
2,463,127.23,8,1,0,1
