Pressure (bar),Volume (l/mol)
0,infinite
0.05,495.53
0.1,247.76
0.15,165.17
0.2,123.88
0.25,99.099
0.3,82.581
0.35,70.783
0.4,61.934
0.45,55.051
0.5,49.545
0.55,45.04
0.6,41.286
0.65,38.11
0.7,35.387
0.75,33.027
0.8,30.963
0.85,29.141
0.9,27.521
0.95,26.072
1,24.768
1.05,23.588
1.1,22.516
1.15,21.536
1.2,20.639
1.25,19.813
1.3,19.05
1.35,18.345
1.4,17.689
1.45,17.079
1.5,16.509
1.55,15.976
1.6,15.477
1.65,15.008
1.7,14.566
1.75,14.15
1.8,13.756
1.85,13.384
1.9,13.032
1.95,12.697
2,12.38
2.05,12.078
2.1,11.79
2.15,11.515
2.2,11.254
2.25,11.003
2.3,10.764
2.35,10.535
2.4,10.315
2.45,10.104
2.5,9.9021
2.55,9.7078
2.6,9.521
2.65,9.3412
2.7,9.168
2.75,9.0012
2.8,8.8403
2.85,8.685
2.9,8.5352
2.95,8.3903
3,8.2504
3.05,8.115
3.1,7.984
3.15,7.8571
3.2,7.7342
3.25,7.6151
3.3,7.4996
3.35,7.3875
3.4,7.2787
3.45,7.1731
3.5,7.0705
3.55,6.9708
3.6,6.8739
3.65,6.7796
3.7,6.6879
3.75,6.5986
3.8,6.5117
3.85,6.427
3.9,6.3445
3.95,6.2641
4,6.1857
4.05,6.1092
4.1,6.0346
4.15,5.9618
4.2,5.8907
4.25,5.8213
4.3,5.7536
4.35,5.6873
4.4,5.6226
4.45,5.5593
4.5,5.4975
4.55,5.437
4.6,5.3778
4.65,5.3199
4.7,5.2632
4.75,5.2077
4.8,5.1534
4.85,5.1002
4.9,5.048
4.95,4.997
5,4.9469
5.05,4.8979
5.1,4.8498
5.15,4.8026
5.2,4.7563
5.25,4.711
5.3,4.6664
5.35,4.6228
5.4,4.5799
5.45,4.5378
5.5,4.4965
5.55,4.4559
5.6,4.416
5.65,4.3769
5.7,4.3384
5.75,4.3006
5.8,4.2635
5.85,4.227
5.9,4.1911
5.95,4.1558
6,4.1211
6.05,4.087
6.1,4.0534
6.15,4.0204
6.2,3.9879
6.25,3.9559
6.3,3.9245
6.35,3.8935
6.4,3.863
6.45,3.833
6.5,3.8035
6.55,3.7744
6.6,3.7457
6.65,3.7175
6.7,3.6897
6.75,3.6623
6.8,3.6353
6.85,3.6087
6.9,3.5825
6.95,3.5567
7,3.5312
7.05,3.5061
7.1,3.4814
7.15,3.457
7.2,3.4329
7.25,3.4092
7.3,3.3858
7.35,3.3627
7.4,3.34
7.45,3.3175
7.5,3.2953
7.55,3.2734
7.6,3.2519
7.65,3.2306
7.7,3.2095
7.75,3.1888
7.8,3.1683
7.85,3.148
7.9,3.1281
7.95,3.1084
8,3.0889
8.05,3.0696
8.1,3.0507
8.15,3.0319
8.2,3.0134
8.25,2.995
8.3,2.977
8.35,2.9591
8.4,2.9414
8.45,2.924
8.5,2.9067
8.55,2.8897
8.6,2.8729
8.65,2.8562
8.7,2.8397
8.75,2.8235
8.8,2.8074
8.85,2.7915
8.9,2.7758
8.95,2.7602
9,2.7448
9.05,2.7296
9.1,2.7146
9.15,2.6997
9.2,2.685
9.25,2.6704
9.3,2.6561
9.35,2.6418
9.4,2.6277
9.45,2.6138
9.5,2.6
9.55,2.5863
9.6,2.5728
9.65,2.5595
9.7,2.5462
9.75,2.5331
9.8,2.5202
9.85,2.5073
9.9,2.4946
9.95,2.4821
10,2.4696
10.05,2.4573
10.1,2.4451
10.15,2.433
10.2,2.421
10.25,2.4092
10.3,2.3975
10.35,2.3859
10.4,2.3744
10.45,2.363
10.5,2.3517
10.55,2.3405
10.6,2.3294
10.65,2.3184
10.7,2.3076
10.75,2.2968
10.8,2.2861
10.85,2.2756
10.9,2.2651
10.95,2.2547
11,2.2444
11.05,2.2343
11.1,2.2242
11.15,2.2142
11.2,2.2042
11.25,2.1944
11.3,2.1847
11.35,2.175
11.4,2.1654
11.45,2.156
11.5,2.1466
11.55,2.1372
11.6,2.128
11.65,2.1188
11.7,2.1097
11.75,2.1007
11.8,2.0918
11.85,2.0829
11.9,2.0742
11.95,2.0655
12,2.0568
12.05,2.0483
12.1,2.0398
12.15,2.0313
12.2,2.023
12.25,2.0147
12.3,2.0065
12.35,1.9983
12.4,1.9903
12.45,1.9822
12.5,1.9743
12.55,1.9664
12.6,1.9586
12.65,1.9508
12.7,1.9431
12.75,1.9354
12.8,1.9278
12.85,1.9203
12.9,1.9128
12.95,1.9054
13,1.8981
13.05,1.8908
13.1,1.8835
13.15,1.8763
13.2,1.8692
13.25,1.8621
13.3,1.8551
13.35,1.8481
13.4,1.8412
13.45,1.8343
13.5,1.8275
13.55,1.8208
13.6,1.814
13.65,1.8074
13.7,1.8007
13.75,1.7942
13.8,1.7877
13.85,1.7812
13.9,1.7747
13.95,1.7684
14,1.762
14.05,1.7557
14.1,1.7495
14.15,1.7433
14.2,1.7371
14.25,1.731
14.3,1.7249
14.35,1.7189
14.4,1.7129
14.45,1.7069
14.5,1.701
14.55,1.6952
14.6,1.6893
14.65,1.6835
