nm,blue_1,green_3,yellow_6,red_40,mix_1,mix_2,mix_3
400,0.09,0.15,0.25,0,0.18,0.22,0.21
401,0.09,0.15,0.25,0,0.18,0.22,0.22
402,0.09,0.15,0.25,0,0.18,0.22,0.22
403,0.1,0.16,0.25,0,0.19,0.23,0.22
404,0.1,0.17,0.25,0,0.19,0.23,0.23
405,0.11,0.18,0.25,0,0.2,0.23,0.23
406,0.11,0.18,0.25,0,0.2,0.24,0.23
407,0.1,0.18,0.25,0,0.19,0.23,0.23
408,0.11,0.18,0.26,0,0.2,0.24,0.23
409,0.11,0.19,0.26,0,0.2,0.24,0.24
410,0.1,0.18,0.26,0,0.19,0.24,0.23
411,0.1,0.19,0.26,0,0.19,0.24,0.23
412,0.1,0.2,0.26,0,0.2,0.24,0.24
413,0.1,0.2,0.26,0,0.19,0.24,0.24
414,0.09,0.2,0.26,0,0.19,0.24,0.24
415,0.09,0.2,0.27,0,0.19,0.24,0.24
416,0.09,0.21,0.27,0,0.2,0.25,0.25
417,0.08,0.2,0.27,0,0.18,0.24,0.24
418,0.07,0.21,0.27,0,0.18,0.24,0.24
419,0.06,0.2,0.26,0,0.18,0.23,0.23
420,0.07,0.2,0.27,0,0.18,0.24,0.24
421,0.06,0.21,0.27,0,0.18,0.24,0.24
422,0.06,0.21,0.28,0,0.17,0.24,0.24
423,0.05,0.2,0.27,0,0.17,0.24,0.24
424,0.05,0.21,0.28,0,0.18,0.25,0.24
425,0.04,0.2,0.28,0,0.17,0.25,0.24
426,0.04,0.2,0.28,0,0.17,0.24,0.24
427,0.04,0.2,0.28,0,0.17,0.25,0.25
428,0.03,0.19,0.28,0,0.16,0.24,0.24
429,0.03,0.21,0.29,0,0.17,0.25,0.25
430,0.03,0.2,0.29,0,0.17,0.25,0.25
431,0.03,0.19,0.29,0,0.17,0.25,0.25
432,0.02,0.19,0.29,0,0.16,0.25,0.25
433,0.01,0.18,0.29,0,0.16,0.25,0.25
434,0.03,0.19,0.31,0,0.18,0.27,0.26
435,0.02,0.18,0.31,0,0.17,0.26,0.26
436,0.02,0.17,0.31,0,0.17,0.26,0.26
437,0.02,0.18,0.32,0,0.17,0.27,0.27
438,0.02,0.17,0.33,0,0.17,0.27,0.27
439,0.02,0.17,0.34,0,0.18,0.28,0.28
440,0.02,0.16,0.34,0,0.17,0.28,0.28
441,0.02,0.16,0.35,0,0.18,0.29,0.29
442,0.01,0.15,0.35,0,0.18,0.29,0.28
443,0.02,0.15,0.36,0,0.18,0.3,0.29
444,0.01,0.14,0.37,0,0.18,0.3,0.29
445,0.01,0.14,0.38,0,0.19,0.31,0.3
446,0.02,0.14,0.39,0,0.2,0.32,0.32
447,0.01,0.13,0.39,0,0.19,0.32,0.31
448,0.02,0.13,0.41,0,0.21,0.34,0.33
449,0.01,0.12,0.41,0,0.2,0.34,0.33
450,0.02,0.12,0.41,0,0.21,0.35,0.34
451,0.02,0.11,0.43,0,0.21,0.35,0.35
452,0.01,0.1,0.42,0,0.21,0.35,0.34
453,0.01,0.1,0.44,0,0.22,0.37,0.37
454,0.01,0.1,0.45,0,0.22,0.37,0.37
455,0.01,0.09,0.46,0,0.23,0.38,0.38
456,0.02,0.1,0.47,0.04,0.24,0.4,0.4
457,0.02,0.09,0.47,0.04,0.24,0.39,0.4
458,0.02,0.09,0.48,0.04,0.24,0.4,0.4
459,0.02,0.09,0.49,0.05,0.26,0.41,0.42
460,0.03,0.09,0.51,0.05,0.26,0.43,0.44
461,0.01,0.07,0.5,0.03,0.26,0.43,0.44
462,0.02,0.07,0.52,0.08,0.27,0.44,0.46
463,0.01,0.07,0.53,0.08,0.27,0.45,0.46
464,0.01,0.06,0.54,0.08,0.27,0.45,0.47
465,0.02,0.07,0.55,0.05,0.28,0.47,0.48
466,0.01,0.06,0.55,0.07,0.28,0.47,0.49
467,0.02,0.06,0.56,0.12,0.29,0.48,0.5
468,0.02,0.06,0.58,0.13,0.3,0.49,0.52
469,0.01,0.05,0.57,0.16,0.3,0.49,0.51
470,0.03,0.06,0.59,0.19,0.31,0.51,0.53
471,0.02,0.05,0.59,0.21,0.31,0.51,0.54
472,0.01,0.05,0.6,0.22,0.31,0.52,0.55
473,0.01,0.05,0.6,0.23,0.32,0.52,0.55
474,0.02,0.05,0.61,0.24,0.32,0.53,0.56
475,0.02,0.05,0.63,0.24,0.34,0.54,0.58
476,0.02,0.05,0.63,0.26,0.34,0.55,0.59
477,0.01,0.04,0.62,0.3,0.33,0.54,0.59
478,0.02,0.04,0.63,0.31,0.35,0.56,0.6
479,0.02,0.05,0.64,0.32,0.35,0.56,0.62
480,0.02,0.04,0.64,0.32,0.35,0.56,0.62
481,0.02,0.05,0.63,0.32,0.35,0.56,0.63
482,0.02,0.05,0.63,0.33,0.36,0.57,0.64
483,0.02,0.04,0.64,0.35,0.36,0.57,0.64
484,0.03,0.05,0.63,0.34,0.37,0.58,0.66
485,0.02,0.05,0.64,0.33,0.37,0.58,0.66
486,0.02,0.04,0.63,0.32,0.36,0.57,0.66
487,0.03,0.05,0.63,0.33,0.37,0.58,0.68
488,0.01,0.04,0.62,0.36,0.37,0.57,0.66
489,0.03,0.05,0.63,0.37,0.38,0.58,0.69
490,0.02,0.05,0.62,0.38,0.38,0.58,0.69
491,0.02,0.05,0.61,0.38,0.38,0.58,0.7
492,0.02,0.04,0.61,0.38,0.37,0.57,0.7
493,0.02,0.04,0.61,0.38,0.38,0.58,0.71
494,0.03,0.05,0.62,0.37,0.39,0.58,0.72
495,0.03,0.05,0.62,0.38,0.39,0.59,0.73
496,0.02,0.04,0.6,0.34,0.38,0.58,0.71
497,0.02,0.05,0.6,0.37,0.39,0.58,0.72
498,0.02,0.05,0.6,0.38,0.39,0.58,0.72
499,0.02,0.05,0.59,0.39,0.39,0.57,0.72
500,0.03,0.05,0.6,0.4,0.39,0.58,0.72
501,0.02,0.05,0.59,0.38,0.39,0.57,0.72
502,0.02,0.05,0.59,0.39,0.39,0.58,0.72
